total,,total_dy,,bary,,disc,,halo,,bulge,,gass,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.03289534305143471,-1.6917604997880744,0.47454066306691445,170.50292095903285,0.049250870759080634,-0.8541731935205235,0.016355527707646367,-0.8486445644361993,-0.016447671525717578,-1.683467556161645,0.016355527707646367,-0.8486445644361993,-0.0002764314542136326,0.8348229917254457
0.46189392403663687,210.8411809151719,0.4657870003501463,250.33632493596005,0.45238007482078046,222.60748576378015,0.4851372021451077,73.86248456591045,0.3433739380424967,16.743453181726068,0.42224904631148297,197.4024657685716,0.4865193594161763,61.25721025376407
0.9611521663011633,232.60601146269101,0.930191843429224,214.96415605477029,0.9458102205923007,222.52455632751602,0.9757108895564199,99.83045537474891,0.5887068536571878,29.307262775740412,0.9500488362235777,183.86838177026704,0.9294086209756185,72.10714483165327
1.3896209203324545,224.97097469730755,0.926413946888303,249.41857250797045,1.4072664614930983,214.04363931223855,1.433297090098225,126.64430643348135,0.9814238062768372,47.728654884543744,1.397176713414297,156.06214179090728,1.42366806110978,64.46105080810128
1.9149328271566257,234.12638446086655,1.4238984206549579,212.3601717560769,1.917328566426478,212.27724231981279,1.8912518659123156,150.09675100897482,1.2759154488325377,61.9648747765512,1.909173838527173,136.6483607614765,1.9011112544459392,60.179127582330466
2.4071651032932198,244.9680260951293,1.4209498184766782,239.2514236219892,2.3941267530361388,213.8777804397103,2.3992868068481283,166.8180896743637,1.603118146803531,77.87626928109398,2.404078285387833,123.11980539225624,2.3784623039640267,56.737555977369425
2.8350809944160846,242.37509905460448,1.9162228406096236,222.3614617695299,2.8867276044450176,221.35801559073403,2.8750714114590044,177.66249562316864,1.9635847630982437,90.4207286733133,2.849455430035199,111.28024620828188,2.8545233400291177,65.0609070637451
3.3432080791699685,258.2560860991837,1.8809317582883365,244.21613253966794,3.3142749202955977,222.12649503344824,3.335053351270663,182.6272045408474,2.2752612277242323,97.93137128430055,3.3274514862797857,101.95621325765251,3.3306765199122794,72.5439065293109
3.7872952103643374,258.1814496065459,2.3751911984224985,236.57003851611594,3.7917181136317564,217.84457180767745,3.8452076000221145,180.0204559276118,2.6190958848570847,112.15929823268158,3.8378821664854503,96.82840978198772,3.8570941525533047,71.6150968431528
4.297265171479646,257.25540423492987,2.3736247535152866,250.85601606988186,4.302333081473565,211.0360650903931,4.322466505722131,177.41923594346054,2.9802075078782964,118.82129627923263,4.315417503639681,91.70613493540719,4.318273961999889,65.65523469030467
4.774063358089306,258.85594235482745,2.8703720767373713,220.52042828446642,4.779960562445865,205.0734386230028,4.766737924552642,175.66389620920336,3.390201426386304,129.67675948620604,4.776597313086265,85.74627278255906,4.779085196174188,63.05677902069556
5.54701177597995,259.56637119215674,2.848948639035807,265.90218012273556,5.586172898660228,202.41693234800877,5.589121500838507,175.5256804820965,3.817103735510385,136.3277002745886,5.566730553047195,79.73112433886809,5.601929491550411,58.716805189539855
6.3855665923373195,261.94644601293703,3.329064003096032,237.25005989348176,6.35958203564123,198.9256030812893,6.362162062547224,175.39575769861602,4.079897904649577,139.64487772515338,6.406114663767209,74.54803457236056,6.391786300057131,55.22271160827819
7.174962681753682,262.65411053572416,3.324088236920185,282.6290474172088,7.181965611927097,198.7873873541824,7.168097967307373,175.26030628605128,4.4411938153069315,144.626172530085,7.21278771907193,67.68977019331777,7.197630060999208,55.92761181652321
7.980898586513831,262.5186591231594,3.8062307649779776,235.48919153014026,7.9553747489080955,195.29605808746294,7.974218159703668,173.44415163186704,4.802305438328142,151.28817057663605,7.953025081547279,66.72502441811179,7.970670622707921,55.79768903304273
8.786650203637839,264.0639109522142,3.801347142620202,280.0278274330575,8.77812690046625,191.79643587711703,8.780338352099958,171.6279969776828,5.196588835855001,155.42358513167352,8.80885686379301,61.539170337062046,8.793330630448004,53.13841844350668
9.576414868326484,261.41016899176236,4.316292869911358,233.7227945377145,9.584523524316754,187.45922636050346,9.553747489080957,168.1366677109633,5.738809133295247,160.37447247664153,9.581989569319795,60.56889593277185,9.599266535208153,53.00296703094193
10.349455430035198,261.2802462082819,4.2784217606840755,279.10731069052576,10.391104435803403,181.4413136022705,10.393315887437113,161.27287470283625,6.11673700311446,163.6722997254114,10.3883861931703,56.23168641615837,10.37249138455301,51.19234100584197
11.155391334795347,261.1447947957172,4.760287857287654,234.48850966588654,11.181329819582404,174.58581353776975,11.183080552125757,158.6191327423843,6.478125057589887,167.81324290953324,11.19441424174852,55.25588338278379,11.195243536111162,47.69271879549598
,,4.771851906455595,279.0243812542617,,,,,6.741195658183292,168.60936549766882,,,,
,,5.565947330593591,236.87411311575107,,,,,7.184822070287305,172.73648710907986,,,,
,,5.561063708235816,281.41274901866836,,,,,7.414997327829278,173.5381383262997,,,,
,,6.371422516263385,240.94041980723514,,,,,7.875347842913218,175.14144076073939,,,,
,,6.366723181541751,283.7983524685329,,,,,8.10543095663712,176.78344359876894,,,,
,,7.161002893315887,239.9673810884028,,,,,8.467003298748688,179.24368354127125,,,,
,,7.172751230119973,282.8225494351584,,,,,8.746521570867811,180.03704181486466,,,,
,,7.966846654257967,240.6722812966478,,,,,9.15743692755653,182.4889888137405,,,,
,,7.961963031900192,285.2109171995651,,,,,9.420507528149939,183.28511140187607,,,,
,,8.772690415200046,241.3771815048929,,,,,9.831515028656728,184.89670677994218,,,,
,,8.751543408952694,284.2378784807328,,,,,10.160284171534931,186.52212373071887,,,,
,,9.557479313712843,284.102427068168,,,,,10.406999244420692,186.48065901258684,,,,
,,9.562270792252548,240.4041427860605,,,,,10.834454416453202,188.0894900761108,,,,
,,10.363507362291063,283.1266240347935,,,,,11.048182002469456,188.89390560787274,,,,
,,10.368298840830768,239.42833975268599,,,,,11.130420360098041,188.8800840351621,,,,
,,11.157602786429058,240.97635589628297,,,,,,,,,,
,,11.152719164071282,285.5149917992002,,,,,,,,,,
